neighbourhood_cleansed,price
Rogers Park,134.0
Logan Square,113.0
Jefferson Park,126.0
Oakland,450.0
Humboldt Park,95.0
North Park,45.0
Logan Square,80.0
Edgewater,147.0
Near North Side,142.0
Jefferson Park,35.0
West Ridge,139.0
Irving Park,200.0
North Lawndale,40.0
Near North Side,450.0
Loop,350.0
Logan Square,100.0
Jefferson Park,45.0
Uptown,100.0
Lincoln Square,59.0
Lower West Side,100.0
North Lawndale,30.0
Irving Park,183.0
Hyde Park,107.0
Near North Side,333.0
Jefferson Park,95.0
West Town,103.0
Near West Side,110.0
Loop,245.0
Edgewater,165.0
Oakland,700.0
Irving Park,69.0
Loop,245.0
Avondale,164.0
Near North Side,69.0
Lower West Side,115.0
Brighton Park,375.0
Lincoln Square,200.0
Uptown,230.0
Lake View,86.0
West Town,162.0
Uptown,264.0
Hermosa,349.0
Uptown,168.0
Logan Square,89.0
Jefferson Park,76.0
West Town,92.0
Rogers Park,169.0
North Center,59.0
West Town,139.0
Albany Park,66.0
Irving Park,61.0
Near West Side,128.0
Brighton Park,68.0
Near North Side,300.0
Lincoln Park,781.0
Lake View,76.0
West Ridge,30.0
Irving Park,60.0
Uptown,96.0
Near North Side,88.0
West Town,165.0
Rogers Park,46.0
Lincoln Park,59.0
Lake View,129.0
Lake View,141.0
Lake View,640.0
Near North Side,135.0
Near North Side,100.0
Avondale,241.0
Near West Side,102.0
Uptown,284.0
West Town,140.0
Logan Square,107.0
Near North Side,150.0
Logan Square,89.0
West Ridge,344.0
Lake View,175.0
West Town,91.0
Lake View,222.0
West Town,101.0
Jefferson Park,69.0
North Park,45.0
West Town,290.0
Hyde Park,75.0
Lake View,159.0
Hyde Park,50.0
Lincoln Square,69.0
West Town,81.0
Bridgeport,89.0
Rogers Park,40.0
West Town,390.0
Near North Side,58.0
Near North Side,55.0
Bridgeport,113.0
Norwood Park,40.0
Lincoln Park,136.0
West Town,100.0
West Town,95.0
Lincoln Park,188.0
Rogers Park,82.0
Logan Square,105.0
West Town,399.0
West Town,130.0
Lake View,228.0
Edgewater,125.0
Hyde Park,70.0
Bridgeport,231.0
